,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1992 - 39G8,2595.05,62.76,55.41,0.12,5.77,238.26,86.28,190.15,121.27,86.88,34.39,21.17,8.15,786.55
1992 - 39G9,2929.54,766.73,47.94,1.82,0.0,287.98,267.31,380.23,283.31,130.12,171.88,111.83,93.14,1725.8
1992 - 39H0,39.03,0.0,0.15,0.0,21.85,15.66,18.86,18.86,6.28,3.08,0.2,0.0,0.0,62.94
1992 - 40F9,27.2,0.0,0.02,0.0,8.95,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
1992 - 40G0,495.76,0.0,2.0,0.0,213.54,4.42,0.12,0.0,0.0,0.0,0.0,0.0,0.0,4.54
1992 - 40G2,332.69,0.0,1.59,0.0,16.13,69.65,106.87,46.99,36.2,10.77,3.43,2.76,0.71,277.38
1992 - 40G4,602.58,225.69,8.03,1.35,7.11,76.82,107.36,142.06,95.0,9.18,2.83,1.79,0.1,435.14
1992 - 40G5,1481.53,447.76,21.74,2.93,15.29,80.56,31.59,70.0,48.16,31.95,13.97,5.67,3.31,285.21
1992 - 40G6,1414.09,459.29,19.03,2.16,1.15,59.49,69.38,127.35,91.07,22.65,6.05,2.72,0.0,378.71
1992 - 40G7,7.8,0.0,0.01,0.0,0.12,50.76,40.48,73.61,70.22,19.64,8.99,4.64,1.4,269.74
1992 - 40G8,2635.24,835.5,57.98,6.03,0.0,11.33,61.92,32.34,22.2,16.12,5.24,2.04,0.45,151.64
1992 - 40G9,1879.1,46.23,19.2,0.06,1.29,139.16,150.71,175.21,157.78,69.15,39.89,26.89,42.5,801.29
1992 - 40H0,439.24,0.0,2.26,0.0,73.46,19.78,16.95,25.43,12.71,2.83,1.41,0.71,0.0,79.82
1992 - 41G2,1021.47,19.13,6.21,0.02,40.29,70.94,23.61,2.71,0.0,0.0,0.0,0.0,0.0,97.26
1992 - 41G6,0.0,0.0,0.0,0.0,0.0,2.64,0.48,11.17,27.37,19.54,7.44,3.54,1.68,73.86
1992 - 41G7,0.0,0.0,0.0,0.0,0.0,6.27,49.83,80.86,93.02,112.34,39.02,28.35,11.05,420.74
1992 - 41G8,1749.74,291.95,42.94,0.94,0.0,437.68,446.23,711.99,394.68,131.84,55.72,63.13,32.42,2273.69
1992 - 41G9,2437.12,1128.4,90.63,20.78,0.0,137.03,142.15,215.83,105.26,31.93,18.01,13.89,10.82,674.92
1992 - 41H0,163.61,15.21,1.69,0.05,0.0,90.16,85.0,128.02,59.22,18.12,9.13,7.96,6.78,404.39
1992 - 42G6,0.0,0.0,0.0,0.0,2.45,43.6,40.99,66.19,26.47,6.21,3.67,0.55,0.12,187.8
1992 - 42G7,1235.23,0.0,12.16,0.0,0.53,49.24,110.42,138.32,70.42,25.91,11.62,2.64,0.41,408.98
1992 - 42G8,573.78,192.79,16.44,1.96,0.0,38.92,101.43,289.2,246.61,260.86,193.06,145.22,115.46,1390.76
1992 - 42G9,3397.22,3333.13,209.57,95.41,0.0,20.27,41.64,141.03,128.01,161.5,122.34,95.01,76.23,786.03
1992 - 42H0,1332.6,1004.02,56.71,26.59,0.0,51.51,90.68,280.17,217.45,291.58,207.68,179.72,193.08,1511.87
1992 - 43G7,1523.7,0.0,29.25,0.0,0.0,43.62,217.19,465.4,281.99,244.6,119.3,33.54,14.86,1420.5
1992 - 43G9,2843.56,2106.54,191.35,107.17,0.0,104.31,168.99,484.42,365.5,411.79,263.67,197.2,150.31,2146.19
1992 - 43H0,1954.7,1622.83,160.23,111.88,0.0,63.69,103.03,295.49,222.96,251.08,160.86,120.32,91.81,1309.24
1992 - 43H1,0.0,0.0,0.0,0.0,1.0,44.5,52.95,88.01,25.86,21.38,6.96,1.99,1.24,242.89
1992 - 44G7,2696.59,0.0,91.11,0.0,6.25,467.51,294.98,276.28,71.05,25.04,8.53,3.44,0.65,1147.48
1992 - 44G8,1158.15,0.0,16.77,0.0,1.7,166.17,152.28,201.6,68.03,23.26,8.89,3.11,1.33,624.67
