,A43ml,A1ml,V43ml,V1ml
1979 - 50I0,0.0,0.0,0.0,0.0
1979 - 51F9,0.0,0.0,0.0,0.0
1979 - 51G0,0.0,0.0,0.0,0.0
1979 - 51G1,0.0,0.0,0.0,0.0
1979 - 51G2,0.0,0.0,0.0,0.0
1979 - 51G3,0.0,0.0,0.0,0.0
1979 - 51G4,0.0,0.0,0.0,0.0
1979 - 51G5,0.0,0.0,0.0,0.0
1979 - 51G6,0.0,0.0,0.0,0.0
1979 - 51G7,0.0,0.0,0.0,0.0
1979 - 51G8,0.0,0.0,0.0,0.0
1979 - 51G9,0.0,0.0,0.0,0.0
1979 - 51H0,0.0,0.0,0.0,0.0
1979 - 51H1,0.0,0.0,0.0,0.0
1979 - 51H2,0.0,0.0,0.0,0.0
1979 - 51H3,0.0,0.0,0.0,0.0
1979 - 51H4,0.0,0.0,0.0,0.0
1979 - 51H5,0.0,0.0,0.0,0.0
1979 - 51H6,0.0,0.0,0.0,0.0
1979 - 51H7,0.0,0.0,0.0,0.0
1979 - 51H8,0.0,0.0,0.0,0.0
1979 - 51H9,0.0,0.0,0.0,0.0
1979 - 51I0,0.0,0.0,0.0,0.0
1979 - 52F9,0.0,0.0,0.0,0.0
1979 - 52G0,0.0,0.0,0.0,0.0
1979 - 52G1,0.0,0.0,0.0,0.0
1979 - 52G2,0.0,0.0,0.0,0.0
1979 - 52G3,0.0,0.0,0.0,0.0
1979 - 52G4,0.0,0.0,0.0,0.0
1979 - 52G5,0.0,0.0,0.0,0.0
1979 - 52G6,0.0,0.0,0.0,0.0
1979 - 52G7,0.0,0.0,0.0,0.0
1979 - 52G8,0.0,0.0,0.0,0.0
1979 - 52G9,0.0,0.0,0.0,0.0
1979 - 52H0,0.0,0.0,0.0,0.0
1979 - 52H1,0.0,0.0,0.0,0.0
1979 - 52H2,0.0,0.0,0.0,0.0
1979 - 52H3,0.0,0.0,0.0,0.0
1979 - 52H4,0.0,0.0,0.0,0.0
1979 - 52H5,0.0,0.0,0.0,0.0
1979 - 52H6,0.0,0.0,0.0,0.0
1979 - 52H7,0.0,0.0,0.0,0.0
1979 - 52H8,0.0,0.0,0.0,0.0
1979 - 52H9,0.0,0.0,0.0,0.0
1979 - 52I0,0.0,0.0,0.0,0.0
1979 - 53F9,0.0,0.0,0.0,0.0
1979 - 53G0,0.0,0.0,0.0,0.0
1979 - 53G1,0.0,0.0,0.0,0.0
1979 - 53G2,0.0,0.0,0.0,0.0
1979 - 53G3,0.0,0.0,0.0,0.0
1979 - 53G4,0.0,0.0,0.0,0.0
1979 - 53G5,0.0,0.0,0.0,0.0
1979 - 53G6,0.0,0.0,0.0,0.0
1979 - 53G7,0.0,0.0,0.0,0.0
1979 - 53G8,0.0,0.0,0.0,0.0
1979 - 53G9,0.0,0.0,0.0,0.0
1979 - 53H0,0.0,0.0,0.0,0.0
1979 - 53H1,0.0,0.0,0.0,0.0
1979 - 53H2,0.0,0.0,0.0,0.0
1979 - 53H3,0.0,0.0,0.0,0.0
1979 - 53H4,0.0,0.0,0.0,0.0
1979 - 53H5,0.0,0.0,0.0,0.0
1979 - 53H6,0.0,0.0,0.0,0.0
1979 - 53H7,0.0,0.0,0.0,0.0
1979 - 53H8,0.0,0.0,0.0,0.0
1979 - 53H9,0.0,0.0,0.0,0.0
1979 - 53I0,0.0,0.0,0.0,0.0
1979 - 54F9,0.0,0.0,0.0,0.0
1979 - 54G0,0.0,0.0,0.0,0.0
1979 - 54G1,0.0,0.0,0.0,0.0
1979 - 54G2,0.0,0.0,0.0,0.0
1979 - 54G3,0.0,0.0,0.0,0.0
1979 - 54G4,0.0,0.0,0.0,0.0
1979 - 54G5,0.0,0.0,0.0,0.0
1979 - 54G6,0.0,0.0,0.0,0.0
1979 - 54G7,0.0,0.0,0.0,0.0
1979 - 54G8,0.0,0.0,0.0,0.0
1979 - 54G9,0.0,0.0,0.0,0.0
1979 - 54H0,0.0,0.0,0.0,0.0
1979 - 54H1,0.0,0.0,0.0,0.0
1979 - 54H2,0.0,0.0,0.0,0.0
1979 - 54H3,0.0,0.0,0.0,0.0
1979 - 54H4,0.0,0.0,0.0,0.0
1979 - 54H5,0.0,0.0,0.0,0.0
1979 - 54H6,0.0,0.0,0.0,0.0
1979 - 54H7,0.0,0.0,0.0,0.0
1979 - 54H8,0.0,0.0,0.0,0.0
1979 - 54H9,0.0,0.0,0.0,0.0
1979 - 54I0,0.0,0.0,0.0,0.0
1979 - 55F9,0.0,0.0,0.0,0.0
1979 - 55G0,0.0,0.0,0.0,0.0
1979 - 55G1,0.0,0.0,0.0,0.0
1979 - 55G2,0.0,0.0,0.0,0.0
1979 - 55G3,0.0,0.0,0.0,0.0
1979 - 55G4,0.0,0.0,0.0,0.0
1979 - 55G5,0.0,0.0,0.0,0.0
1979 - 55G6,0.0,0.0,0.0,0.0
1979 - 55G7,0.0,0.0,0.0,0.0
1979 - 55G8,0.0,0.0,0.0,0.0
1979 - 55G9,0.0,0.0,0.0,0.0
1979 - 55H0,0.0,0.0,0.0,0.0
1979 - 55H1,0.0,0.0,0.0,0.0
1979 - 55H2,0.0,0.0,0.0,0.0
1979 - 55H3,0.0,0.0,0.0,0.0
1979 - 55H4,0.0,0.0,0.0,0.0
1979 - 55H5,0.0,0.0,0.0,0.0
1979 - 55H6,0.0,0.0,0.0,0.0
1979 - 55H7,0.0,0.0,0.0,0.0
1979 - 55H8,0.0,0.0,0.0,0.0
1979 - 55H9,0.0,0.0,0.0,0.0
1979 - 55I0,0.0,0.0,0.0,0.0
1979 - 56F9,0.0,0.0,0.0,0.0
1979 - 56G0,0.0,0.0,0.0,0.0
1979 - 56G1,0.0,0.0,0.0,0.0
1979 - 56G2,0.0,0.0,0.0,0.0
1979 - 56G3,0.0,0.0,0.0,0.0
1979 - 56G4,0.0,0.0,0.0,0.0
1979 - 56G5,0.0,0.0,0.0,0.0
1979 - 56G6,0.0,0.0,0.0,0.0
1979 - 56G7,0.0,0.0,0.0,0.0
1979 - 56G8,0.0,0.0,0.0,0.0
1979 - 56G9,0.0,0.0,0.0,0.0
1979 - 56H0,0.0,0.0,0.0,0.0
1979 - 56H1,0.0,0.0,0.0,0.0
1979 - 56H2,0.0,0.0,0.0,0.0
1979 - 56H3,0.0,0.0,0.0,0.0
1979 - 56H4,0.0,0.0,0.0,0.0
1979 - 56H5,0.0,0.0,0.0,0.0
1979 - 56H6,0.0,0.0,0.0,0.0
1979 - 56H7,0.0,0.0,0.0,0.0
1979 - 56H8,0.0,0.0,0.0,0.0
1979 - 56H9,0.0,0.0,0.0,0.0
1979 - 56I0,0.0,0.0,0.0,0.0
1979 - 57F9,0.0,0.0,0.0,0.0
1979 - 57G0,0.0,0.0,0.0,0.0
1979 - 57G1,0.0,0.0,0.0,0.0
1979 - 57G2,0.0,0.0,0.0,0.0
1979 - 57G3,0.0,0.0,0.0,0.0
1979 - 57G4,0.0,0.0,0.0,0.0
1979 - 57G5,0.0,0.0,0.0,0.0
1979 - 57G6,0.0,0.0,0.0,0.0
1979 - 57G7,0.0,0.0,0.0,0.0
1979 - 57G8,0.0,0.0,0.0,0.0
1979 - 57G9,0.0,0.0,0.0,0.0
1979 - 57H0,0.0,0.0,0.0,0.0
1979 - 57H1,0.0,0.0,0.0,0.0
1979 - 57H2,0.0,0.0,0.0,0.0
1979 - 57H3,0.0,0.0,0.0,0.0
1979 - 57H4,0.0,0.0,0.0,0.0
1979 - 57H5,0.0,0.0,0.0,0.0
1979 - 57H6,0.0,0.0,0.0,0.0
1979 - 57H7,0.0,0.0,0.0,0.0
1979 - 57H8,0.0,0.0,0.0,0.0
1979 - 57H9,0.0,0.0,0.0,0.0
1979 - 57I0,0.0,0.0,0.0,0.0
1979 - 58F9,0.0,0.0,0.0,0.0
1979 - 58G0,0.0,0.0,0.0,0.0
1979 - 58G1,0.0,0.0,0.0,0.0
1979 - 58G2,0.0,0.0,0.0,0.0
1979 - 58G3,0.0,0.0,0.0,0.0
1979 - 58G4,0.0,0.0,0.0,0.0
1979 - 58G5,0.0,0.0,0.0,0.0
1979 - 58G6,0.0,0.0,0.0,0.0
1979 - 58G7,0.0,0.0,0.0,0.0
1979 - 58G8,0.0,0.0,0.0,0.0
1979 - 58G9,0.0,0.0,0.0,0.0
1979 - 58H0,0.0,0.0,0.0,0.0
1979 - 58H1,0.0,0.0,0.0,0.0
1979 - 58H2,0.0,0.0,0.0,0.0
1979 - 58H3,0.0,0.0,0.0,0.0
1979 - 58H4,0.0,0.0,0.0,0.0
1979 - 58H5,0.0,0.0,0.0,0.0
1979 - 58H6,0.0,0.0,0.0,0.0
1979 - 58H7,0.0,0.0,0.0,0.0
1979 - 58H8,0.0,0.0,0.0,0.0
1979 - 58H9,0.0,0.0,0.0,0.0
1979 - 58I0,0.0,0.0,0.0,0.0
1979 - 59F9,0.0,0.0,0.0,0.0
